UO;UO_Nome;Curso;Curso_Nome;Grupo_Grau;Grupo_Grau_Nome;CNAEF_1D;CNAEF_1D_Nome;CNAEF_2D;CNAEF_2D_Nome;CNAEF_3D;CNAEF_3D_Nome;A1984_2004_TD_PE_6M;A2005_TD_PE_6M;A2006_TD_PE_6M;A2007_TD_PE_6M;A2008_TD_PE_6M;A2009_TD_PE_6M;A2010_TD_PE_6M;A2011_TD_PE_6M;A2012_TD_PE_6M;A2013_TD_PE_6M;A2014_TD_PE_6M;A1984_2004_TD_PE_6_12M;A2005_TD_PE_6_12M;A2006_TD_PE_6_12M;A2007_TD_PE_6_12M;A2008_TD_PE_6_12M;A2009_TD_PE_6_12M;A2010_TD_PE_6_12M;A2011_TD_PE_6_12M;A2012_TD_PE_6_12M;A2013_TD_PE_6_12M;A2014_TD_PE_6_12M;A1984_2004_TD_PE_12M;A2005_TD_PE_12M;A2006_TD_PE_12M;A2007_TD_PE_12M;A2008_TD_PE_12M;A2009_TD_PE_12M;A2010_TD_PE_12M;A2011_TD_PE_12M;A2012_TD_PE_12M;A2013_TD_PE_12M;A2014_TD_PE_12M;A1984_2004_TD_NE_6M;A2005_TD_NE_6M;A2006_TD_NE_6M;A2007_TD_NE_6M;A2008_TD_NE_6M;A2009_TD_NE_6M;A2010_TD_NE_6M;A2011_TD_NE_6M;A2012_TD_NE_6M;A2013_TD_NE_6M;A2014_TD_NE_6M;A1984_2004_TD_NE_6_12M;A2005_TD_NE_6_12M;A2006_TD_NE_6_12M;A2007_TD_NE_6_12M;A2008_TD_NE_6_12M;A2009_TD_NE_6_12M;A2010_TD_NE_6_12M;A2011_TD_NE_6_12M;A2012_TD_NE_6_12M;A2013_TD_NE_6_12M;A2014_TD_NE_6_12M;A1984_2004_TD_NE_12M;A2005_TD_NE_12M;A2006_TD_NE_12M;A2007_TD_NE_12M;A2008_TD_NE_12M;A2009_TD_NE_12M;A2010_TD_NE_12M;A2011_TD_NE_12M;A2012_TD_NE_12M;A2013_TD_NE_12M;A2014_TD_NE_12M;Dip_1984_2004;Dip_2005;Dip_2006;Dip_2007;Dip_2008;Dip_2009;Dip_2010;Dip_2011;Dip_2012;Dip_2013;A1984_2004_Total;A2005_Total;A2006_Total;A2007_Total;A2008_Total;A2009_Total;A2010_Total;A2011_Total;A2012_Total;A2013_Total;A2014_Total;A1984_2014_TOTAL
0130;Universidade dos Açores - Ponta Delgada;1044;Biologia Marinha;L;Licenciatura;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;6;16;3;;;;;0;0;0;0;1;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;1200;Estudos Europeus e Política Internacional;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;313;Ciência Política e Cidadania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;17;6;1;;;;;;0;0;0;0;1;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;4435;Gestão Estratégica e Desenvolvimento do Turismo;M;Mestrado;800;Serviços;810;Serviços Pessoais;812;Turismo e Lazer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;2;;;;;;;;0;0;1;0;0;0;0;0;0;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9011;Biologia;L1;Licenciatura 1.º Ciclo;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;13;19;12;14;14;19;0;0;0;0;0;1;0;0;0;1;0;2
0130;Universidade dos Açores - Ponta Delgada;9081;Economia;L1;Licenciatura 1.º Ciclo;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;9;12;13;22;14;18;21;0;0;0;0;0;0;0;0;0;1;0;1
0130;Universidade dos Açores - Ponta Delgada;9147;Gestão;L1;Licenciatura 1.º Ciclo;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;48;59;50;71;61;87;0;0;0;0;0;0;0;0;1;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9219;Psicologia;L1;Licenciatura 1.º Ciclo;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;30;29;29;19;0;0;0;0;0;0;0;0;1;0;0;1
0130;Universidade dos Açores - Ponta Delgada;9238;Serviço Social;L1;Licenciatura 1.º Ciclo;700;Saúde e Protecção Social;760;Serviços Sociais;762;Trabalho Social e Orientação;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;30;26;29;34;25;0;0;0;0;0;0;0;0;0;0;1;1
0130;Universidade dos Açores - Ponta Delgada;9240;Sociologia;L1;Licenciatura 1.º Ciclo;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;312;Sociologia e Outros Estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;25;29;13;19;15;28;0;0;0;0;0;0;0;0;0;1;0;1
0130;Universidade dos Açores - Ponta Delgada;9254;Turismo;L1;Licenciatura 1.º Ciclo;800;Serviços;810;Serviços Pessoais;812;Turismo e Lazer;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;16;23;35;29;23;0;0;0;0;0;0;0;0;1;1;0;2
