CodigoFaculdade;NomeFaculdade;CodigoCurso;NomeCurso;Grau;TotalDesempregados;TotalDiplomados
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;6998;Arquitectura Paisagista;MESTRADO;2;5
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;8245;Ensino de Informática;LICENCIATURA;1;4
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;8258;Arquitectura Paisagista;LICENCIATURA;19;70
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;8419;Agronomia (regime pós-laboral);LICENCIATURA;1;21
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9003;Agronomia;LICENCIATURA;4;7
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9011;Biologia;LICENCIATURA;6;48
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9013;Biologia Marinha;LICENCIATURA;1;41
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9015;Bioquímica;LICENCIATURA;8;39
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9016;Biotecnologia;LICENCIATURA;8;16
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9041;Ciências do Mar;LICENCIATURA;1;10
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9119;Engenharia Informática;LICENCIATURA;10;70
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9263;Aquacultura e Pescas;MESTRADO;1;23
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9286;Engenharia Informática;MESTRADO;1;8
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9358;Engenharia Biológica;MESTRADO;4;15
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9391;Biologia Marinha;MESTRADO;2;33
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9417;Engenharia do Ambiente;MESTRADO;1;10
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9494;Ciências Farmacêuticas;MESTRADO;1;26
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9508;Engenharia do Ambiente;MESTRADO;1;10
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9578;Ciências de Engenharia Electrónica e Telecomunicações;LICENCIATURA;2;11
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9592;Ciências de Engenharia Biológica;LICENCIATURA;2;7
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9595;Ciências de Engenharia do Ambiente;LICENCIATURA;2;7
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9835;Matemática e Aplicações;LICENCIATURA;2;4
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;M306;Ecohidrologia;MESTRADO;1;0
0204;Universidade do Algarve - Faculdade de Economia;0156;Economia;LICENCIATURA;16;196
0204;Universidade do Algarve - Faculdade de Economia;0441;Gestão de Empresas;LICENCIATURA;15;165
0204;Universidade do Algarve - Faculdade de Economia;0759;Sociologia;LICENCIATURA;8;25
0204;Universidade do Algarve - Faculdade de Economia;4061;Ciências Económicas e Empresariais;MESTRADO;1;18
0204;Universidade do Algarve - Faculdade de Economia;4394;Finanças Empresariais;MESTRADO;2;11
0204;Universidade do Algarve - Faculdade de Economia;4431;Gestão Empresarial;MESTRADO;1;24
0204;Universidade do Algarve - Faculdade de Economia;6312;Gestão e Desenvolvimento de Destinos Turísticos;MESTRADO;2;1
0204;Universidade do Algarve - Faculdade de Economia;6920;Finanças Empresariais;MESTRADO;1;2
