CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;CodigoArea;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;TotalDesempregados;TotalDiplomados
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9263;Aquacultura e Pescas;MESTRADO;624;1;;;;;;1;23
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9286;Engenharia Informática;MESTRADO;523;;;;1;;;1;8
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9358;Engenharia Biológica;MESTRADO;421;1;2;;1;;;4;15
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9391;Biologia Marinha;MESTRADO;421;;;;1;1;;2;33
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9417;Engenharia do Ambiente;MESTRADO;851;1;;;;;;1;10
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9494;Ciências Farmacêuticas;MESTRADO;727;;;;1;;;1;26
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9508;Engenharia do Ambiente;MESTRADO;851;;;;1;;;1;10
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9578;Ciências de Engenharia Electrónica e Telecomunicações;LICENCIATURA;523;;;;1;;1;2;11
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9592;Ciências de Engenharia Biológica;LICENCIATURA;421;1;;;1;;;2;7
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9595;Ciências de Engenharia do Ambiente;LICENCIATURA;851;;;;2;;;2;7
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;9835;Matemática e Aplicações;LICENCIATURA;461;;;;2;;;2;4
0203;Universidade do Algarve - Faculdade de Ciências e Tecnologia;M306;Ecohidrologia;MESTRADO;443;1;;;;;;1;0
0204;Universidade do Algarve - Faculdade de Economia;0156;Economia;LICENCIATURA;314;;;1;7;5;6;19;239
0204;Universidade do Algarve - Faculdade de Economia;0441;Gestão de Empresas;LICENCIATURA;345;;;;10;5;5;20;210
0204;Universidade do Algarve - Faculdade de Economia;0759;Sociologia;LICENCIATURA;312;;;;5;1;2;8;25
0204;Universidade do Algarve - Faculdade de Economia;4061;Ciências Económicas e Empresariais;MESTRADO;314;;;;;;1;1;25
0204;Universidade do Algarve - Faculdade de Economia;4394;Finanças Empresariais;MESTRADO;343;;;;;1;1;2;11
0204;Universidade do Algarve - Faculdade de Economia;4431;Gestão Empresarial;MESTRADO;345;;;;;;1;1;24
0204;Universidade do Algarve - Faculdade de Economia;6312;Gestão e Desenvolvimento de Destinos Turísticos;MESTRADO;812;;;;2;;;2;1
0204;Universidade do Algarve - Faculdade de Economia;6920;Finanças Empresariais;MESTRADO;343;;;;;;1;1;2
0204;Universidade do Algarve - Faculdade de Economia;9081;Economia;LICENCIATURA;314;6;3;7;7;5;3;31;166
0204;Universidade do Algarve - Faculdade de Economia;9152;Gestão de Empresas;LICENCIATURA;345;11;2;1;26;7;7;54;308
0204;Universidade do Algarve - Faculdade de Economia;9240;Sociologia;LICENCIATURA;312;2;;1;8;1;2;14;119
0204;Universidade do Algarve - Faculdade de Economia;9314;Marketing;MESTRADO;342;;;;;1;;1;1
0204;Universidade do Algarve - Faculdade de Economia;M148;Gestão Empresarial;MESTRADO;345;;;;;;1;1;2
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0025;Arquitectura Paisagista;LICENCIATURA;581;1;;;7;;5;13;109
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0205;Engenharia Agronómica;LICENCIATURA;621;;;;11;1;7;19;211
0205;Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais;0226;Engenharia Biotecnológica;LICENCIATURA;524;;;;7;2;3;12;256
