CodigoFaculdade;CodigoCurso;Nota
3081;9084;100
3081;9563;123,3
3081;9853;111,3
3081;9879;105
3082;9147;120
3082;9148;105
3082;9173;136,5
3082;9205;112,5
3082;9254;129,3
3083;9089;
3083;9123;116,1
3083;9503;137,5
3083;L028;105
3087;9147;110,1
3087;9148;
3087;9254;117,1
3091;8339;105
3091;9005;113,5
3091;9563;102,8
3091;9652;105
3091;9853;113,6
3092;9056;121,7
3092;9072;114,6
3092;9089;
3092;9119;105,4
3092;9128;
3092;9147;103,8
3092;9157;108,3
3092;9205;100
3092;9855;116,4
3095;9173;95
3095;9255;100,9
3095;9484;118,5
3101;8014;110
3101;8132;
3101;8476;137,3
3101;9084;110,7
3101;9238;124,8
3101;9492;128,2
3101;9797;115,4
3101;9851;119,2
3101;9853;102,2
3101;L099;124,1
3102;8015;105
3102;9002;114,9
3102;9089;119,6
3102;9104;114,4
3102;9112;117,9
3102;9119;113,6
3102;9123;106,3
3102;9147;129,2
3102;9205;115,3
3102;9242;117,5
3102;9627;111,3
3102;9648;
3102;9690;111,7
3102;9741;114,8
3102;9871;
3102;9885;105,7
3102;9886;
3102;9991;108,7
3102;L055;120,2
3102;L104;
3103;8126;125,3
3103;8525;117,6
3103;9007;115,3
3103;9074;133,7
3103;9243;132,3
3103;9457;129,8
3103;9723;108,4
3103;9729;149
3103;L127;117,4
3105;8514;104,1
3105;9014;107,1
3105;9016;128
3105;9178;121,3
3105;9207;114,3
3105;9254;124,9
3105;9484;103,5
3105;9848;110
3112;8307;125,5
3112;9005;113,5
3112;9853;122,5
3112;9876;110,8
3112;L134;106
3113;8438;136,5
3113;8439;137,5
3113;9010;146,5
3113;9191;148
3113;9222;149
3113;9231;145
3117;8015;106,5
3117;9058;136,8
3117;9147;147,9
3117;9242;132,4
3117;9476;139,5
3117;9870;107,5
3117;9889;113,3
3117;9991;128,4
3117;L035;118,6
3118;9089;117,2
3118;9108;110,3
3118;9109;98,3
3118;9121;133,5
3118;9123;107,4
3118;9126;112,8
3118;L052;126
3118;L085;105,4
3118;L117;118,4
3118;L119;130
3121;8014;
3121;9238;104,2
3121;9254;106,1
3121;9773;99
3121;9853;113,6
3122;9070;112
3122;9119;107,5
3122;9147;99,6
3122;9469;117,3
3122;9670;110,7
3122;9991;
3122;L033;
3123;9003;
3123;9085;98,9
3123;9130;105,5
3131;8002;146,2
3131;8096;100,6
3131;8264;144,8
3131;9084;140,6
3131;9707;133,3
3131;9767;117,1
3131;9807;121,6
3131;9853;137,4
3131;9878;109,9
3131;9879;110,3
3134;8005;129,3
3134;9009;146,5
3134;9043;125,7
3134;9053;158,3
3134;9058;142,4
3134;9205;148,6
3134;9227;149,7
3134;9716;142,8
3134;9829;127,5
3134;9866;122,1
3134;9867;135,7
3134;9870;121
3134;L070;144,1
3135;8316;135,6
3135;9089;113
3135;9104;166,3
3135;9110;121,5
3135;9112;136,6
3135;9117;111,4
3135;9119;154,5
3135;9123;151,1
3135;9125;149,2
3135;9455;164,5
3135;9936;133,6
3135;L089;139,4
3138;8015;124,5
3138;8097;109,7
3138;8288;105,8
3138;8398;111
3138;9045;141,1
3138;9119;126,9
3138;9242;145,7
3138;L014;122,8
3138;L091;117
3139;8442;114,3
3139;9164;162,2
3139;9921;145,6
3139;L131;137
3141;8419;
3141;9003;121,8
3141;L011;111,6
3141;L015;112,6
3141;L080;98,9
3141;L139;
3142;9084;112,4
3142;9347;110,4
3142;9354;102,8
3142;9853;95
3142;9879;105
3142;L130;133,8
3143;9152;107,6
3143;9185;107,9
3143;9206;101,5
3143;9498;102,6
3143;9785;106,7
3143;9994;
3145;9730;114,6
3145;9763;106,6
3145;9808;97
3145;A007;
3145;L008;99,2
3145;L034;103,6
3151;9054;132,4
3151;9563;102,8
3151;9631;105,2
3151;9633;104,8
3151;9853;114,6
3152;8515;114,5
3152;9092;113,6
3152;9112;113,8
3152;9119;119,4
3152;9123;114,4
3152;9862;119,1
3152;L069;107
3152;L124;107,5
3153;8111;100,2
3153;9157;127,2
3153;9205;123,6
3153;9627;118,4
3153;9628;107
3153;9629;115,6
3153;9630;116,9
3153;9993;106,1
3154;9016;105,5
3154;9089;134
3154;9090;
3154;9687;117,6
3154;L100;111,3
3155;9500;131,8
3155;9504;145,2
3155;9890;104,4
3161;8155;130,2
3161;9003;117,6
3161;9016;104,8
3161;9085;108
3162;9473;104,2
3162;9853;113,8
3162;L122;125,4
3163;8114;106,1
3163;8407;115,2
3163;9119;118
3163;9123;145,1
3163;9147;132,1
3163;9148;106,7
3163;9254;141,4
3163;9723;101
3163;9727;118,4
3163;9743;
3163;9750;
3163;9857;
3163;L016;116,3
3164;8464;142,6
3164;8516;103,4
3164;9664;119,1
3164;9872;126,9
3165;9731;98,5
3181;9054;116,7
3181;9084;102,8
3181;9347;124,3
3181;9466;113,5
3181;9850;118,9
3181;9853;102
3181;9930;103,5
3182;8296;104,2
3182;8517;111,9
3182;9056;99,6
3182;9089;
3182;9099;
3182;9109;121,7
3182;9119;114,1
3182;9123;106,7
3182;9152;117,3
3182;9205;113
3182;9254;117,2
3182;9491;108,6
3182;9994;110,7
3185;9085;111,8
3185;9086;112,9
3185;9818;140,1
3185;L025;108,2
3186;8014;
3186;9061;117
3186;9122;106
3186;9168;112,6
3186;9179;116,6
3186;9238;118,1
3186;L116;123
3241;9056;
3241;9152;103
3241;9640;105,4
3241;9641;112,6
3242;9112;
3242;9119;111,3
3242;9184;121,4
3242;9380;113
3242;9644;109
3242;9645;105,8
3242;L106;
3243;9054;110
3243;9123;
3243;9250;
3243;9932;116,1
3331;9069;118,7
3331;9244;150,1
3331;9863;159
3331;L071;121,4
5402;9007;156,5
5402;9070;166,5
6800;8014;130
6800;8029;151
6800;8109;116,5
6800;8366;132,5
6800;9019;150,5
6800;9081;160
6800;9098;128
6800;9119;147,8
6800;9147;163
6800;9156;153,5
6800;9157;155
6800;9189;144,5
6800;9219;157,5
6800;9240;135
6800;9257;152
