CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;CodigoArea;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;TotalDesempregados;TotalDiplomados
0300;Universidade de Aveiro;4459;Gestão de Operações;MESTRADO;345;;;;1;;;1;30;
0300;Universidade de Aveiro;4460;Gestão e Desenvolvimento em Turismo;MESTRADO;812;;;;1;;1;2;74;
0300;Universidade de Aveiro;4468;Geoquímica;MESTRADO;443;;;;;;1;1;48;
0300;Universidade de Aveiro;4491;Gestão da Informação;MESTRADO;481;;;;1;1;;2;74;
0300;Universidade de Aveiro;4557;Inovação e Políticas de Desenvolvimento;MESTRADO;313;;;;;;1;1;17;
0300;Universidade de Aveiro;4623;Educação em Línguas no 1.º Ciclo do Ensino Básico;MESTRADO;144;;;;;1;;1;16;
0300;Universidade de Aveiro;4626;Multimédia em Educação;MESTRADO;213;;;;2;;1;3;104;
0300;Universidade de Aveiro;4660;Matemática;MESTRADO;461;;;;1;;;1;79;
0300;Universidade de Aveiro;4675;Métodos Biomoleculares Avançados;MESTRADO;421;;;;1;;;1;33;
0300;Universidade de Aveiro;4699;Microbiologia Molecular;MESTRADO;421;;;;1;;;1;52;
0300;Universidade de Aveiro;4707;Minerais e Rochas Industriais;MESTRADO;544;;;;1;;2;3;55;
0300;Universidade de Aveiro;4725;Poluição Atmosférica;MESTRADO;851;;;;;1;;1;29;
0300;Universidade de Aveiro;4767;Química e Qualidade dos Alimentos;MESTRADO;442;;;;;1;;1;16;
0300;Universidade de Aveiro;4775;Química de Produtos Naturais e Alimentos;MESTRADO;442;;;;1;;;1;43;
0300;Universidade de Aveiro;4854;Supervisão;MESTRADO;142;;;;;1;;1;106;
0300;Universidade de Aveiro;4886;Toxicologia;MESTRADO;421;;;;2;1;1;4;44;
0300;Universidade de Aveiro;4940;Criação Artística Contemporânea;MESTRADO;211;;;;;3;;3;15;
