Código da instituição;Código do curso;Nome da instituição;Nome do curso;Grau académico;Vagas Iniciais;Estudantes colocados;Nota de candidatura do último colocado pelo contingente geral;Vagas sobrantes
0501;9367;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Eletrotécnica e de Computadores;MI;110;110;115,3;0
0501;9368;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Física;MI;28;28;137,8;0
0501;9369;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Mecânica;MI;100;100;135,8;0
0501;9448;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Antropologia;L1;45;45;107,5;0
0501;9461;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia Química;MI;45;45;122,5;0
0501;9508;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Engenharia do Ambiente;MI;39;12;111,3;27
0501;9891;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;Design e Multimédia;L1;60;61;151,0;0
0502;8067;Universidade de Coimbra - Faculdade de Direito;Administração Público-Privada;L1;41;43;148,5;0
0502;9078;Universidade de Coimbra - Faculdade de Direito;Direito;L1;334;334;145,5;0
0503;9081;Universidade de Coimbra - Faculdade de Economia;Economia;L1;154;154;145,0;0
0503;9147;Universidade de Coimbra - Faculdade de Economia;Gestão;L1;89;89;155,0;0
0503;9229;Universidade de Coimbra - Faculdade de Economia;Relações Internacionais;L1;41;41;156,5;0
0503;9240;Universidade de Coimbra - Faculdade de Economia;Sociologia;L1;41;41;128,5;0
0504;9494;Universidade de Coimbra - Faculdade de Farmácia;Ciências Farmacêuticas;MI;186;186;147,8;0
0504;9819;Universidade de Coimbra - Faculdade de Farmácia;Ciências Bioanalíticas;L1;36;36;125,3;0
0504;9832;Universidade de Coimbra - Faculdade de Farmácia;Farmácia Biomédica;L1;37;37;131,3;0
0505;8393;Universidade de Coimbra - Faculdade de Letras;Português;L1;36;26;105,0;10
0505;9006;Universidade de Coimbra - Faculdade de Letras;Arqueologia;L1;25;26;117,5;0
0505;9132;Universidade de Coimbra - Faculdade de Letras;Estudos Artísticos;L1;35;37;137,0;0
0505;9133;Universidade de Coimbra - Faculdade de Letras;Estudos Clássicos;L1;20;22;113,0;0
0505;9135;Universidade de Coimbra - Faculdade de Letras;Estudos Europeus;L1;33;34;140,5;0
0505;9139;Universidade de Coimbra - Faculdade de Letras;Filosofia;L1;28;29;116,5;0
0505;9143;Universidade de Coimbra - Faculdade de Letras;Geografia;L1;56;56;100,0;0
0505;9181;Universidade de Coimbra - Faculdade de Letras;História;L1;63;64;107,0;0
0505;9182;Universidade de Coimbra - Faculdade de Letras;História da Arte;L1;24;19;105,0;5
0505;9694;Universidade de Coimbra - Faculdade de Letras;Ciência da Informação;L1;27;27;129,4;0
0505;9773;Universidade de Coimbra - Faculdade de Letras;Jornalismo e Comunicação;L1;50;50;150,0;0
0505;9779;Universidade de Coimbra - Faculdade de Letras;Línguas Modernas;L1;87;89;137,0;0
0505;L109;Universidade de Coimbra - Faculdade de Letras;Turismo, Território e Patrimónios;L1;40;40;139,5;0
0506;9548;Universidade de Coimbra - Faculdade de Medicina;Medicina Dentária;MI;42;42;175,0;0
0506;9813;Universidade de Coimbra - Faculdade de Medicina;Medicina;MI;255;258;179,8;0
0507;9026;Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação;Ciências da Educação;L1;70;72;125,5;0
0507;9238;Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação;Serviço Social;L1;32;34;134,0;0
0507;9555;Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação;Psicologia;MI;130;131;153,6;0
0508;8368;Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física;Ciências do Desporto (regime pós-laboral);L1;25;25;116,6;0
0508;9707;Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física;Ciências do Desporto;L1;95;99;126,0;0
0602;8258;Universidade de Évora - Escola de Ciências e Tecnologia;Arquitetura Paisagista;L1;20;6;117,8;14
0602;8262;Universidade de Évora - Escola de Ciências e Tecnologia;Biologia Humana;L1;20;20;131,1;0
0602;9003;Universidade de Évora - Escola de Ciências e Tecnologia;Agronomia;L1;40;25;95,0;15
0602;9011;Universidade de Évora - Escola de Ciências e Tecnologia;Biologia;L1;40;38;104,8;2
0602;9015;Universidade de Évora - Escola de Ciências e Tecnologia;Bioquímica;L1;35;35;112,8;0
0602;9016;Universidade de Évora - Escola de Ciências e Tecnologia;Biotecnologia;L1;27;18;107,8;9
