NomeFaculdade;CodigoFaculdade;NomeCurso;CodigoCurso;Grau;TotalDesempregados;TotalDiplomados
Universidade de Aveiro;0300;Engenharia Física;0264;L;4;43
Universidade de Aveiro;0300;Engenharia Geológica;0284;L;9;47
Universidade de Aveiro;0300;Engenharia e Gestão Industrial;0290;L;26;318
Universidade de Aveiro;0300;Engenharia de Materiais;0302;L;5;59
Universidade de Aveiro;0300;Engenharia Mecânica;0304;L;4;159
Universidade de Aveiro;0300;Engenharia Química;0331;L;6;143
Universidade de Aveiro;0300;Física;0374;L;2;14
Universidade de Aveiro;0300;Física e Química (Ensino de);0383;L;44;198
Universidade de Aveiro;0300;Gestão;0416;L;7;67
Universidade de Aveiro;0300;Gestão e Planeamento em Turismo;0448;L;15;123
Universidade de Aveiro;0300;Inglês e Alemão (Ensino de);0494;L;7;111
Universidade de Aveiro;0300;Matemática (Ensino de);0560;L;48;223
Universidade de Aveiro;0300;Matemática Aplicada e Computação;0568;L;9;92
Universidade de Aveiro;0300;Música (Ensino de);0592;L;5;188
Universidade de Aveiro;0300;Novas Tecnologias da Comunicação;0596;L;36;189
Universidade de Aveiro;0300;Planeamento Regional e Urbano;0623;L;15;115
Universidade de Aveiro;0300;Educação de Infância;0625;L;22;330
Universidade de Aveiro;0300;Português e Francês (Ensino de);0630;L;14;118
Universidade de Aveiro;0300;Português e Inglês (Ensino de);0633;L;17;139
Universidade de Aveiro;0300;Português, Latim e Grego (Ensino de);0636;L;26;118
Universidade de Aveiro;0300;Electrónica e Informática (Ensino de);0663;L;2;58
Universidade de Aveiro;0300;Química;0705;L;21;142
Universidade de Aveiro;0300;Ensino Básico - 1.º Ciclo;0707;L;49;313
Universidade de Aveiro;0300;Bioquímica e Química Alimentar;1043;L;6;127
Universidade de Aveiro;0300;Línguas e Relações Empresariais;1525;L;6;134
Universidade de Aveiro;0300;Línguas, Literaturas e Culturas;1640;L;4;19
Universidade de Aveiro;0300;Química Industrial e Gestão;1700;L;3;71
Universidade de Aveiro;0300;Tecnologias de Informação e Comunicação;1772;L;10;85
Universidade de Aveiro;0300;Educadores de Infância;2855;L;5;125
Universidade de Aveiro;0300;Professores do 1.º ciclo do Ensino Básico;2857;L;5;131
Universidade de Aveiro;0300;Ciências e Engenharia de Materiais;4044;M;2;34
Universidade de Aveiro;0300;Ciências da Educação;4078;M;4;25
Universidade de Aveiro;0300;Economia de Empresa;4159;M;2;15
Universidade de Aveiro;0300;Engenharia Electrónica e de Telecomunicações;4198;M;4;97
Universidade de Aveiro;0300;Engenharia Mecânica;4210;M;2;26
Universidade de Aveiro;0300;Comunicação e Educação em Ciências;4251;M;1;41
Universidade de Aveiro;0300;Design, Materiais e Gestão do Produto;4267;M;1;24
Universidade de Aveiro;0300;Ensino de Física;4269;M;1;13
Universidade de Aveiro;0300;Ensino da Física e da Química;4270;M;2;28
Universidade de Aveiro;0300;Ensino de Geologia e Biologia;4272;M;2;39
Universidade de Aveiro;0300;Gestão Ambiental, Materiais e Valorização de Resíduos;4274;M;2;28
