SubsistemaDeEnsino;CodigoUniversidade;NomeUniversidade;CodigoCurso;NomeCurso;Grau;1ºEmp<6;1ºEmp6a12;1ºEmp>=12;NovoEmp<6;NovoEmp6a12;NovoEmp>=12;1997-1998 a 2001-2002;2002-2003;2003-2004;2004-2005;2005-2006;2006-2007;Total
Ensino superior público - universitário;0202;Faculdade de Ciências do Mar e do Ambiente da Universidade do Algarve;9263;Aquacultura e Pescas;Mestrado;1;;;;1;0;;;;;;
Ensino superior público - universitário;0203;Faculdade de Ciências e Tecnologia da Universidade do Algarve;0063;Bioquímica;Licenciatura;1;;2;1;4;44;20;17;21;19;18;139
Ensino superior público - universitário;0203;Faculdade de Ciências e Tecnologia da Universidade do Algarve;0219;Engenharia de Sistemas e Computação;Licenciatura;1;;2;;3;46;21;12;12;3;;94
Ensino superior público - universitário;0203;Faculdade de Ciências e Tecnologia da Universidade do Algarve;0264;Engenharia Física;Licenciatura;1;;;;1;0;;;;1;;1
Ensino superior público - universitário;0203;Faculdade de Ciências e Tecnologia da Universidade do Algarve;0340;Engenharia de Sistemas e Informática;Licenciatura;;;1;;1;0;;;8;26;16;50
Ensino superior público - universitário;0203;Faculdade de Ciências e Tecnologia da Universidade do Algarve;0381;Física e Química;Licenciatura;;;3;1;4;70;23;26;11;13;15;158
Ensino superior público - universitário;0203;Faculdade de Ciências e Tecnologia da Universidade do Algarve;0479;Informática;Licenciatura;;;;1;1;0;;24;16;13;12;65
Ensino superior público - universitário;0203;Faculdade de Ciências e Tecnologia da Universidade do Algarve;0487;Informática - Gestão;Licenciatura;;;1;;1;65;14;;;;;79
Ensino superior público - universitário;0203;Faculdade de Ciências e Tecnologia da Universidade do Algarve;0559;Matemática;Licenciatura;;;7;;7;132;35;35;15;14;15;246
Ensino superior público - universitário;0203;Faculdade de Ciências e Tecnologia da Universidade do Algarve;0705;Química;Licenciatura;;;3;;3;2;12;8;22;11;9;64
Ensino superior público - universitário;0203;Faculdade de Ciências e Tecnologia da Universidade do Algarve;4219;Engenharia de Sistemas e Computação;Mestrado;;;1;;1;17;;;;;;17
Ensino superior público - universitário;0203;Faculdade de Ciências e Tecnologia da Universidade do Algarve;9119;Engenharia Informática;Licenciatura;;;1;;1;0;;;;;;
Ensino superior público - universitário;0204;Faculdade de Economia da Universidade do Algarve;0156;Economia;Licenciatura;4;;15;2;21;233;42;46;33;32;6;392
Ensino superior público - universitário;0204;Faculdade de Economia da Universidade do Algarve;0441;Gestão de Empresas;Licenciatura;6;;15;4;25;210;32;30;31;24;2;329
Ensino superior público - universitário;0204;Faculdade de Economia da Universidade do Algarve;0759;Sociologia;Licenciatura;3;;6;;9;0;;;;12;13;25
Ensino superior público - universitário;0204;Faculdade de Economia da Universidade do Algarve;4061;Ciências Económicas e Empresariais;Mestrado;;;1;;1;19;6;3;2;1;1;32
Ensino superior público - universitário;0204;Faculdade de Economia da Universidade do Algarve;9081;Economia;Licenciatura;1;;2;;3;0;;;;;34;34
Ensino superior público - universitário;0204;Faculdade de Economia da Universidade do Algarve;9152;Gestão de Empresas;Licenciatura;2;;2;;4;0;;;;;74;74
Ensino superior público - universitário;0205;Faculdade de Engenharia de Recursos Naturais da Universidade do Algarve;0025;Arquitectura Paisagista;Licenciatura;4;1;5;1;11;0;;4;11;30;30;75
Ensino superior público - universitário;0205;Faculdade de Engenharia de Recursos Naturais da Universidade do Algarve;0205;Engenharia Agronómica;Licenciatura;3;;7;2;12;80;30;28;39;33;18;228
Ensino superior público - universitário;0205;Faculdade de Engenharia de Recursos Naturais da Universidade do Algarve;0226;Engenharia Biotecnológica;Licenciatura;5;1;7;1;14;82;19;30;44;50;47;272
Ensino superior público - universitário;0205;Faculdade de Engenharia de Recursos Naturais da Universidade do Algarve;4036;Biotecnologia;Mestrado;;;1;;1;0;;;5;1;2;8
Ensino superior público - universitário;0205;Faculdade de Engenharia de Recursos Naturais da Universidade do Algarve;9003;Agronomia;Licenciatura;1;;;;1;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;0003;Administração Pública;Licenciatura;11;1;5;;17;0;;;;16;43;59
Ensino superior público - universitário;0300;Universidade de Aveiro;0048;Biologia;Licenciatura;11;3;12;4;30;207;12;42;50;30;71;412
Ensino superior público - universitário;0300;Universidade de Aveiro;0054;Biologia e Geologia (Ensino de);Licenciatura;1;1;11;4;17;181;51;28;28;34;22;344
Ensino superior público - universitário;0300;Universidade de Aveiro;0136;Design;Licenciatura;20;;18;2;40;63;28;39;32;34;37;233
Ensino superior público - universitário;0300;Universidade de Aveiro;0156;Economia;Licenciatura;20;;10;2;32;50;43;48;25;47;47;260
Ensino superior público - universitário;0300;Universidade de Aveiro;0182;Educadores de Infância;Bacharelato;;;1;2;3;0;;;;;;
Ensino superior público - universitário;0300;Universidade de Aveiro;0213;Engenharia do Ambiente;Licenciatura;17;4;21;1;43;178;46;57;44;54;48;427
