UO;UO_Nome;Curso;Curso_Nome;Grupo_Grau;Grupo_Grau_Nome;CNAEF_1D;CNAEF_1D_Nome;CNAEF_2D;CNAEF_2D_Nome;CNAEF_3D;CNAEF_3D_Nome;A1984_2004_TD_PE_6M;A2005_TD_PE_6M;A2006_TD_PE_6M;A2007_TD_PE_6M;A2008_TD_PE_6M;A2009_TD_PE_6M;A2010_TD_PE_6M;A2011_TD_PE_6M;A2012_TD_PE_6M;A2013_TD_PE_6M;A2014_TD_PE_6M;A2015_TD_PE_6M;A1984_2004_TD_PE_6_12M;A2005_TD_PE_6_12M;A2006_TD_PE_6_12M;A2007_TD_PE_6_12M;A2008_TD_PE_6_12M;A2009_TD_PE_6_12M;A2010_TD_PE_6_12M;A2011_TD_PE_6_12M;A2012_TD_PE_6_12M;A2013_TD_PE_6_12M;A2014_TD_PE_6_12M;A2015_TD_PE_6_12M;A1984_2004_TD_PE_12M;A2005_TD_PE_12M;A2006_TD_PE_12M;A2007_TD_PE_12M;A2008_TD_PE_12M;A2009_TD_PE_12M;A2010_TD_PE_12M;A2011_TD_PE_12M;A2012_TD_PE_12M;A2013_TD_PE_12M;A2014_TD_PE_12M;A2015_TD_PE_12M;A1984_2004_TD_NE_6M;A2005_TD_NE_6M;A2006_TD_NE_6M;A2007_TD_NE_6M;A2008_TD_NE_6M;A2009_TD_NE_6M;A2010_TD_NE_6M;A2011_TD_NE_6M;A2012_TD_NE_6M;A2013_TD_NE_6M;A2014_TD_NE_6M;A2015_TD_NE_6M;A1984_2004_TD_NE_6_12M;A2005_TD_NE_6_12M;A2006_TD_NE_6_12M;A2007_TD_NE_6_12M;A2008_TD_NE_6_12M;A2009_TD_NE_6_12M;A2010_TD_NE_6_12M;A2011_TD_NE_6_12M;A2012_TD_NE_6_12M;A2013_TD_NE_6_12M;A2014_TD_NE_6_12M;A2015_TD_NE_6_12M;A1984_2004_TD_NE_12M;A2005_TD_NE_12M;A2006_TD_NE_12M;A2007_TD_NE_12M;A2008_TD_NE_12M;A2009_TD_NE_12M;A2010_TD_NE_12M;A2011_TD_NE_12M;A2012_TD_NE_12M;A2013_TD_NE_12M;A2014_TD_NE_12M;A2015_TD_NE_12M;Dip_1984_2004;Dip_2005;Dip_2006;Dip_2007;Dip_2008;Dip_2009;Dip_2010;Dip_2011;Dip_2012;Dip_2013;Dip_2014;A1984_2004_Total;A2005_Total;A2006_Total;A2007_Total;A2008_Total;A2009_Total;A2010_Total;A2011_Total;A2012_Total;A2013_Total;A2014_Total;A2015_Total;A1984_2015_TOTAL
0400;Universidade da Beira Interior;0156;Economia;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;3;;2;;;;;;;;;;3;;;;1;;;;;;;;;1;1;3;1;;;;;;;;234;40;77;39;43;6;;;;;;7;2;3;3;2;0;0;0;0;0;0;0;17
0400;Universidade da Beira Interior;0200;Engenharia Aeronáutica;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;525;Construção e Reparação de Veículos a Motor;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;138;11;13;16;6;2;;;;;;3;0;0;0;0;1;0;0;0;0;0;0;4
0400;Universidade da Beira Interior;0233;Engenharia Civil;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;580;Arquitectura e Construção;582;Construção Civil e Engenharia Civil;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;3;2;3;1;;;;;;;2;;;1;1;;;;;;;;3;1;1;3;;1;;;;;;;330;72;62;92;64;55;;;;;;12;1;4;6;4;3;0;0;0;0;0;0;30
0400;Universidade da Beira Interior;0237;Engenharia Civil, variante de Planeamento e Urbanismo;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;580;Arquitectura e Construção;582;Construção Civil e Engenharia Civil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;32;;;;;;;;;;;3;0;0;0;0;0;0;0;0;0;0;0;3
0400;Universidade da Beira Interior;0241;Engenharia Electromecânica;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;522;Electricidade e Energia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;1;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;256;15;18;5;16;2;;;;;;5;0;0;0;0;2;0;0;0;0;0;0;7
0400;Universidade da Beira Interior;0292;Engenharia Informática;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;8;30;5;1;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;0304;Engenharia Mecânica;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;521;Metalurgia e Metalomecânica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;11;5;7;8;;;;;;;0;0;0;0;1;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;0323;Engenharia do Papel;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;540;Indústrias Transformadoras;543;Materiais (Indústrias da Madeira, Cortiça, Papel, Plástico, Vidro e outros);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;90;2;;1;;;;;;;;5;0;0;0;0;0;0;0;0;0;0;0;5
0400;Universidade da Beira Interior;0327;Engenharia da Produção e Gestão Industrial;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;521;Metalurgia e Metalomecânica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;;;;;;2;1;;;;;;;;;;;7;2;;1;;;;;;;;;224;20;18;10;8;3;;;;;;11;3;0;1;0;1;0;0;0;0;0;0;16
0400;Universidade da Beira Interior;0331;Engenharia Química;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;524;Tecnologia dos Processos Químicos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;1;1;;;;;;;;;4;10;9;5;;;;;;0;0;1;0;2;1;0;0;0;0;0;0;4
0400;Universidade da Beira Interior;0344;Engenharia Têxtil;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;540;Indústrias Transformadoras;542;Indústrias do Têxtil, Vestuário, Calçado e Couro;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;6;;;;;;;;;;;;2;;;;;;;;;;;;8;;1;;;;;;;;;;323;8;6;5;4;;;;;;;17;0;1;0;0;0;0;0;0;0;0;0;18
0400;Universidade da Beira Interior;0360;Filosofia;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;226;Filosofia e Ética;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;;;;;;;;;;;;;;;8;10;14;8;;;;;;;0;1;2;1;1;0;0;0;0;0;0;0;5
0400;Universidade da Beira Interior;0375;Física (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108;;;;;;;;;;;3;0;0;0;0;0;0;0;0;0;0;0;3
0400;Universidade da Beira Interior;0377;Física Aplicada;L;Licenciatura;400;Ciências, Matemática e Informática;440;Ciências Físicas;441;Física;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;85;;;;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;2
0400;Universidade da Beira Interior;0383;Física e Química (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;1;;1;;;;;;;;;;13;16;13;14;8;3;;;;;;2;0;2;0;0;0;0;0;0;0;0;0;4
0400;Universidade da Beira Interior;0416;Gestão;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;1;1;;;2;;;;;;;5;;;;;;;;;;;;14;1;3;1;1;1;;;;;;;987;49;104;59;55;10;;;;;;27;2;4;1;1;3;0;0;0;0;0;0;38
0400;Universidade da Beira Interior;0480;Informática (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;146;Formação de Professores e Formadores de Áreas Tecnológicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;10;11;17;13;9;;;;;;0;0;1;0;0;2;0;0;0;0;0;0;3
0400;Universidade da Beira Interior;0521;Língua e Cultura Portuguesas (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;2
0400;Universidade da Beira Interior;0560;Matemática (Ensino de);L;Licenciatura;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;1;;;;;;;;;;;;4;3;;1;;;;;;;;;302;23;24;25;11;7;;;;;;7;3;0;3;0;0;0;0;0;0;0;0;13
0400;Universidade da Beira Interior;0562;Marketing;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;342;Marketing e Publicidade;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;1;1;;;;;;;;;;12;26;23;;;;;;;0;0;2;2;1;0;0;0;0;0;0;0;5
0400;Universidade da Beira Interior;0574;Matemática/Informática;L;Licenciatura;400;Ciências, Matemática e Informática;460;Matemática e Estatística;461;Matemática;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;1;;;;;;;;2;;1;;1;;;;;;;;238;15;15;7;5;5;;;;;;4;0;1;0;2;0;0;0;0;0;0;0;7
0400;Universidade da Beira Interior;0695;Psicologia;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;311;Psicologia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;24;40;40;35;;;;;;0;0;1;2;1;1;0;0;0;0;0;0;5
0400;Universidade da Beira Interior;0714;Química Industrial;L;Licenciatura;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;524;Tecnologia dos Processos Químicos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;212;26;19;19;1;1;;;;;;2;0;0;1;0;0;0;0;0;0;0;0;3
0400;Universidade da Beira Interior;0759;Sociologia;L;Licenciatura;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;312;Sociologia e Outros Estudos;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;6;1;3;1;;;;;;;;;3;;;;1;1;;;;;;;18;;;1;1;1;;;;;;;439;21;41;37;24;3;;;;;;28;1;3;2;2;2;0;0;0;0;0;0;38
0400;Universidade da Beira Interior;1068;Cinema;L;Licenciatura;200;Artes e Humanidades;210;Artes;213;Áudio-Visuais e Produção dos Media;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;20;1;;;;;;;0;0;0;2;1;0;0;0;0;0;0;0;3
0400;Universidade da Beira Interior;1151;Design Multimédia;L;Licenciatura;200;Artes e Humanidades;210;Artes;214;Design;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;1;1;;1;;;;;;;;11;24;31;18;5;;;;;;;0;2;1;1;2;0;0;0;0;0;0;0;6
0400;Universidade da Beira Interior;1153;Design Têxtil e do Vestuário;L;Licenciatura;200;Artes e Humanidades;210;Artes;214;Design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;10;19;15;13;2;;;;;;;0;0;0;0;2;0;0;0;0;0;0;0;2
0400;Universidade da Beira Interior;1537;Português e Espanhol;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;4;10;7;16;2;;;;;;0;1;0;0;3;1;0;0;0;0;0;0;5
0400;Universidade da Beira Interior;1581;Português e Inglês;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;5;6;4;;;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;1581;Português e Inglês;L;Licenciatura;200;Artes e Humanidades;140;Formação de Professores/Formadores e Ciências da Educação;222;Línguas e Literaturas Estrangeiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;5;6;4;;;;;;;0;0;0;0;1;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;1607;Língua e Cultura Portuguesas;L;Licenciatura;200;Artes e Humanidades;140;Formação de Professores/Formadores e Ciências da Educação;223;Língua e Literatura Materna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;63;27;39;14;9;;;;;;;2;0;1;0;1;0;0;0;0;0;0;0;4
0400;Universidade da Beira Interior;1607;Língua e Cultura Portuguesas;L;Licenciatura;200;Artes e Humanidades;220;Humanidades;223;Língua e Literatura Materna;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;63;27;39;14;9;;;;;;;1;0;1;0;1;0;0;0;0;0;0;0;3
0400;Universidade da Beira Interior;1690;Optometria e Optotecnia (Física Aplicada);L;Licenciatura;700;Saúde e Protecção Social;720;Saúde;725;Tecnologias de Diagnóstico e Terapêutica;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;28;29;35;7;;;;;;;1;0;0;0;1;0;0;0;0;0;0;0;2
0400;Universidade da Beira Interior;4053;Ciências Económicas;M;Mestrado;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;2;1;4;1;;;;;;;0;0;0;0;1;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;4076;Ciências da Comunicação;M;Mestrado;300;Ciências Sociais, Comércio e Direito;320;Informação e Jornalismo;321;Jornalismo e Reportagem;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;;2;2;;1;1;;;;;0;0;0;0;0;0;1;0;0;0;0;0;1
0400;Universidade da Beira Interior;4186;Educação;M;Mestrado;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;31;4;8;16;5;;7;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;4194;Engenharia Civil - Construção;M;Mestrado;500;Engenharia, Indústrias Transformadoras e Construção;580;Arquitectura e Construção;582;Construção Civil e Engenharia Civil;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;1;;1;2;;;;;0;0;0;0;0;0;2;0;0;0;0;0;2
0400;Universidade da Beira Interior;4208;Engenharia Informática;M;Mestrado;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4;1;2;1;1;;;;;0;0;0;0;0;0;1;0;0;0;0;0;1
0400;Universidade da Beira Interior;4348;Filosofia;M;Mestrado;200;Artes e Humanidades;220;Humanidades;226;Filosofia e Ética;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;4399;Física e Química para o Ensino;M;Mestrado;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;3;2;;;2;;;;;0;0;0;0;0;0;2;0;0;0;0;0;2
0400;Universidade da Beira Interior;4400;Economia e Políticas Autárquicas;M;Mestrado;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;314;Economia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;2;3;;;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;4457;Gestão de Unidades de Saúde;M;Mestrado;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;2;4;5;10;3;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;4474;Gestão;M;Mestrado;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;70;2;4;8;1;1;2;;;;;1;0;0;1;0;0;1;0;0;0;0;0;3
0400;Universidade da Beira Interior;4660;Matemática;M;Mestrado;400;Ciências, Matemática e Informática;460;Matemática e Estatística;461;Matemática;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;1;;;;;;;;;0;1;0;0;0;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;4768;Química;M;Mestrado;400;Ciências, Matemática e Informática;440;Ciências Físicas;442;Química;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;1;1;;;;;;;;;0;0;1;0;0;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;4830;Sistemas de Informação Geográfica;M;Mestrado;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;;;;;;0;0;0;1;0;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;4833;Sistemas de Controlo e Manutenção Industrial;M;Mestrado;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;521;Metalurgia e Metalomecânica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;3;1;2;;1;1;;;;;1;1;0;0;0;0;0;0;0;0;0;0;2
0400;Universidade da Beira Interior;4846;Sociologia;M;Mestrado;300;Ciências Sociais, Comércio e Direito;310;Ciências Sociais e do Comportamento;312;Sociologia e Outros Estudos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;18;1;1;2;;3;1;;;;;1;0;1;0;0;0;1;0;0;0;0;0;3
0400;Universidade da Beira Interior;4909;Geotecnia Ambiental;M;Mestrado;400;Ciências, Matemática e Informática;440;Ciências Físicas;443;Ciências da Terra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;3;2;2;;;;;;0;0;0;0;0;1;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;5030;Arquitectura;D;Doutoramento;500;Engenharia, Indústrias Transformadoras e Construção;580;Arquitectura e Construção;581;Arquitectura e Urbanismo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;0;0;0;0;1;0;0;0;0;0;0;0;1
0400;Universidade da Beira Interior;5109;Bioquímica;D;Doutoramento;400;Ciências, Matemática e Informática;420;Ciências da Vida;421;Biologia e Bioquímica;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;0;0;0;0;0;0;0;0;0;0;2;0;2
0400;Universidade da Beira Interior;5229;Química;D;Doutoramento;400;Ciências, Matemática e Informática;440;Ciências Físicas;442;Química;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;1;5;0;0;0;0;0;0;0;0;0;0;1;0;1
0400;Universidade da Beira Interior;5447;Biomedicina;D;Doutoramento;700;Saúde e Protecção Social;720;Saúde;721;Medicina;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;2;3;5;0;0;0;0;0;0;0;0;0;0;1;0;1
0400;Universidade da Beira Interior;5448;Letras;D;Doutoramento;200;Artes e Humanidades;220;Humanidades;222;Línguas e Literaturas Estrangeiras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;3;1;7;4;4;0;0;0;0;0;0;0;0;0;1;0;0;1
0400;Universidade da Beira Interior;6043;Ciências do Desporto;M;Mestrado;800;Serviços;810;Serviços Pessoais;813;Desporto;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;4;4;21;25;17;6;12;0;0;0;0;0;0;0;0;0;0;3;0;3
0400;Universidade da Beira Interior;6045;Ciências Documentais;M;Mestrado;300;Ciências Sociais, Comércio e Direito;320;Informação e Jornalismo;322;Biblioteconomia, Arquivo e Documentação (BAD);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;1;;;;;;;;1;10;7;5;2;0;0;0;0;0;0;1;1;0;0;1;0;3
0400;Universidade da Beira Interior;6086;Empreendedorismo e Criação de Empresas;M;Mestrado;300;Ciências Sociais, Comércio e Direito;340;Ciências Empresariais;345;Gestão e Administração;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;5;6;5;0;0;0;0;0;0;0;0;1;1;0;1;3
0400;Universidade da Beira Interior;6091;Engenharia Electrotécnica e de Computadores;M;Mestrado;500;Engenharia, Indústrias Transformadoras e Construção;520;Engenharia e Técnicas Afins;523;Electrónica e Automação;;;;;;;;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;7;16;5;12;4;6;0;0;0;0;0;1;0;0;1;1;0;3;6
0400;Universidade da Beira Interior;6137;Gerontologia;M;Mestrado;700;Saúde e Protecção Social;720;Saúde;723;Enfermagem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13;1;5;0;0;0;0;0;0;0;0;1;0;0;0;1
0400;Universidade da Beira Interior;6248;Supervisão Pedagógica;M;Mestrado;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;142;Ciências da Educação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;8;9;11;9;5;0;0;0;0;0;0;0;0;1;0;0;0;1
0400;Universidade da Beira Interior;6436;Ensino de Artes Visuais no 3.º Ciclo do Ensino Básico e Ensino Secundário;M;Mestrado;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;1;;;;;;;;;;;;1;2;;;;;;;;;7;17;18;17;4;0;0;0;0;0;0;1;0;2;3;0;0;6
0400;Universidade da Beira Interior;6451;Ensino de Matemática no 3.º C. do Ensino Básico e no Secundário;M;Mestrado;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;6;12;8;6;3;0;0;0;0;0;0;2;0;1;0;0;0;3
0400;Universidade da Beira Interior;6452;Ensino de Física e Química no 3º C. do Ensino Básico e no Ensino Secundário;M;Mestrado;100;Educação;140;Formação de Professores/Formadores e Ciências da Educação;145;Formação de Professores de Áreas Disciplinares Específicas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;12;7;8;12;2;0;0;0;0;0;0;0;0;0;1;1;0;2
